normalized_name,name_wikichip,name_external,tdp (W)_wikichip,tdp (W)_external,TDP_differs,cores_wikichip,cores_external,Cores_differs
amd athlon 200ge,amd athlon 200ge,AMD Athlon™ 200GE,35.0,35.0,False,2,2,False
amd athlon 220ge,amd athlon 220ge,AMD Athlon™ 220GE,35.0,35.0,False,2,2,False
amd athlon 240ge,amd athlon 240ge,AMD Athlon™ 240GE,35.0,35.0,False,2,2,False
amd athlon 3000g,amd athlon 3000g,AMD Athlon™ 3000G,35.0,35.0,False,2,2,False
amd athlon 300u,amd athlon 300u,AMD Athlon™ 300U,15.0,15.0,False,2,2,False
amd athlon gold 3150u,amd athlon gold 3150u,AMD Athlon™ Gold 3150U,15.0,15.0,False,2,2,False
amd athlon pro 200ge,amd athlon pro 200ge,AMD Athlon™ PRO 200GE,35.0,35.0,False,2,2,False
amd athlon pro 300ge,amd athlon pro 300ge,AMD Athlon™ PRO 300GE,35.0,35.0,False,2,2,False
amd athlon silver 3050u,amd athlon silver 3050u,AMD Athlon™ Silver 3050U,15.0,15.0,False,2,2,False
intel atom c3308,intel atom c3308,Intel Atom® Processor C3308,9.5,9.5,False,2,2,False
intel atom c3338,intel atom c3338,Intel Atom® Processor C3338,9.0,8.5,True,2,2,False
intel atom c3508,intel atom c3508,Intel Atom® Processor C3508,11.25,11.5,True,4,4,False
intel atom c3538,intel atom c3538,Intel Atom® Processor C3538,15.0,15.0,False,4,4,False
intel atom c3558,intel atom c3558,Intel Atom® Processor C3558,16.0,16.0,False,4,4,False
intel atom c3708,intel atom c3708,Intel Atom® Processor C3708,17.0,17.0,False,8,8,False
intel atom c3750,intel atom c3750,Intel Atom® Processor C3750,21.0,21.0,False,8,8,False
intel atom c3758,intel atom c3758,Intel Atom® Processor C3758,25.0,25.0,False,8,8,False
intel atom c3808,intel atom c3808,Intel Atom® Processor C3808,25.0,25.0,False,12,12,False
intel atom c3830,intel atom c3830,Intel Atom® Processor C3830,21.0,21.5,True,12,12,False
intel atom c3850,intel atom c3850,Intel Atom® Processor C3850,25.0,25.0,False,12,12,False
