normalized_name,name_wikichip,name_external,tdp (W)_wikichip,tdp (W)_external,TDP_differs,cores_wikichip,cores_external,Cores_differs,TDP_abs_diff,Cores_abs_diff
intel celeron n3160,intel celeron n3160,Intel® Celeron® Processor N3160,4.0,6.0,True,4,4,False,2.0,0
intel core i7-4770r,intel core i7-4770r,Intel® Core™ i7-4770R Processor,47.0,65.0,True,4,4,False,18.0,0
amd epyc embedded 3255,amd epyc embedded 3255,AMD EPYC™ Embedded 3255,55.0,25.0,True,8,8,False,30.0,0
amd epyc embedded 3351,amd epyc embedded 3351,AMD EPYC™ Embedded 3351,80.0,60.0,True,12,12,False,20.0,0
amd epyc embedded 3451,amd epyc embedded 3451,AMD EPYC™ Embedded 3451,100.0,80.0,True,16,16,False,20.0,0
intel pentium gold g5400,intel pentium gold g5400,Intel® Pentium® Gold G5400 Processor,54.0,58.0,True,2,2,False,4.0,0
amd ryzen 7 4800hs,amd ryzen 7 4800hs,AMD Ryzen™ 7 4800HS,35.0,45.0,True,8,8,False,10.0,0
amd ryzen 7 pro 2700x,amd ryzen 7 pro 2700x,AMD Ryzen™ 7 PRO 2700X,105.0,95.0,True,8,8,False,10.0,0
amd ryzen 9 4900h,amd ryzen 9 4900h,AMD Ryzen™ 9 4900H,45.0,35.0,True,8,8,False,10.0,0
amd ryzen embedded v1500b,amd ryzen embedded v1500b,AMD Ryzen™ Embedded V1500B,16.0,12.0,True,4,4,False,4.0,0
amd ryzen embedded v1780b,amd ryzen embedded v1780b,AMD Ryzen™ Embedded V1780B,45.0,35.0,True,4,4,False,10.0,0
intel xeon gold 5218n,intel xeon gold 5218n,Intel® Xeon® Gold 5218N Processor,105.0,110.0,True,16,16,False,5.0,0
ampereone a192-32x,ampereone a192-32x,AmpereOne A192-32X,283.0,276.0,True,192,192,False,7.0,0
ampereone a160-28x,ampereone a160-28x,AmpereOne A160-28X,214.0,215.0,True,160,160,False,1.0,0
ampereone a144-27x,ampereone a144-27x,AmpereOne A144-27X,202.0,214.0,True,144,144,False,12.0,0
ampereone a144-24x,ampereone a144-24x,AmpereOne A144-24X,194.0,185.0,True,144,144,False,9.0,0
ampereone a128-34x,ampereone a128-34x,AmpereOne A128-34X,275.0,280.0,True,128,128,False,5.0,0
ampereone a96-37x,ampereone a96-37x,AmpereOne A96-37X,273.0,292.0,True,96,96,False,19.0,0
default compute cluster,default compute cluster,default compute cluster,11.23,7.23,True,1,1,False,4.0,0
default local,default local,default local,12.35,7.65,True,1,1,False,4.699999999999999,0
default embedded,default embedded,default embedded,8.49,5.45,True,1,1,False,3.04,0
