normalized_name,name_wikichip,name_external,tdp (W)_wikichip,tdp (W)_external,TDP_differs,cores_wikichip,cores_external,Cores_differs
amd athlon 200ge,Athlon 200GE  - AMD,AMD Athlon™ 200GE,35.0,35.0,False,2,2,False
amd athlon 220ge,Athlon 220GE  - AMD,AMD Athlon™ 220GE,35.0,35.0,False,2,2,False
amd athlon 240ge,Athlon 240GE  - AMD,AMD Athlon™ 240GE,35.0,35.0,False,2,2,False
amd athlon 3000g,Athlon 3000G  - AMD,AMD Athlon™ 3000G,35.0,35.0,False,2,2,False
amd athlon 300u,Athlon 300U  - AMD,AMD Athlon™ 300U,15.0,15.0,False,2,2,False
amd athlon gold 3150u,Athlon Gold 3150U  - AMD,AMD Athlon™ Gold 3150U,15.0,15.0,False,2,2,False
amd athlon pro 200ge,Athlon PRO 200GE  - AMD,AMD Athlon™ PRO 200GE,35.0,35.0,False,2,2,False
amd athlon pro 300ge,Athlon PRO 300GE  - AMD,AMD Athlon™ PRO 300GE,35.0,35.0,False,2,2,False
amd athlon silver 3050u,Athlon Silver 3050U  - AMD,AMD Athlon™ Silver 3050U,15.0,15.0,False,2,2,False
intel atom c3308,Atom C3308  - Intel,Intel Atom® Processor C3308,9.5,9.5,False,2,2,False
intel atom c3338,Atom C3338  - Intel,Intel Atom® Processor C3338,9.0,8.5,True,2,2,False
intel atom c3508,Atom C3508  - Intel,Intel Atom® Processor C3508,11.25,11.5,True,4,4,False
intel atom c3538,Atom C3538  - Intel,Intel Atom® Processor C3538,15.0,15.0,False,4,4,False
intel atom c3558,Atom C3558  - Intel,Intel Atom® Processor C3558,16.0,16.0,False,4,4,False
intel atom c3708,Atom C3708  - Intel,Intel Atom® Processor C3708,17.0,17.0,False,8,8,False
intel atom c3750,Atom C3750  - Intel,Intel Atom® Processor C3750,21.0,21.0,False,8,8,False
intel atom c3758,Atom C3758  - Intel,Intel Atom® Processor C3758,25.0,25.0,False,8,8,False
intel atom c3808,Atom C3808  - Intel,Intel Atom® Processor C3808,25.0,25.0,False,12,12,False
intel atom c3830,Atom C3830  - Intel,Intel Atom® Processor C3830,21.0,21.5,True,12,12,False
intel atom c3850,Atom C3850  - Intel,Intel Atom® Processor C3850,25.0,25.0,False,12,12,False
intel atom c3858,Atom C3858  - Intel,Intel Atom® Processor C3858,25.0,25.0,False,12,12,False
intel atom c3950,Atom C3950  - Intel,Intel Atom® Processor C3950,24.0,24.0,False,16,16,False
intel atom c3955,Atom C3955  - Intel,Intel Atom® Processor C3955,32.0,32.0,False,16,16,False
intel atom c3958,Atom C3958  - Intel,Intel Atom® Processor C3958,31.0,31.0,False,16,16,False
intel atom x5-e3930,Atom x5-E3930  - Intel,Intel Atom® x5-E3930 Processor,6.5,6.5,False,2,2,False
intel atom x5-e3940,Atom x5-E3940  - Intel,Intel Atom® x5-E3940 Processor,9.5,9.5,False,4,4,False
intel atom x5-e8000,Atom x5-E8000  - Intel,Intel Atom® x5-E8000 Processor,5.0,5.0,False,4,4,False
intel atom x7-e3950,Atom x7-E3950  - Intel,Intel Atom® x7-E3950 Processor,12.0,12.0,False,4,4,False
intel celeron 1007u,Celeron 1007U  - Intel,Intel® Celeron® Processor 1007U,17.0,17.0,False,2,2,False
intel celeron 3755u,Celeron 3755U  - Intel,Intel® Celeron® Processor 3755U,15.0,15.0,False,2,2,False
intel celeron 3855u,Celeron 3855U  - Intel,Intel® Celeron® Processor 3855U,15.0,15.0,False,2,2,False
intel celeron 3865u,Celeron 3865U  - Intel,Intel® Celeron® Processor 3865U,15.0,15.0,False,2,2,False
intel celeron 3955u,Celeron 3955U  - Intel,Intel® Celeron® Processor 3955U,15.0,15.0,False,2,2,False
intel celeron 3965u,Celeron 3965U  - Intel,Intel® Celeron® Processor 3965U,15.0,15.0,False,2,2,False
intel celeron 3965y,Celeron 3965Y  - Intel,Intel® Celeron® Processor 3965Y,6.0,6.0,False,2,2,False
intel celeron 4205u,Celeron 4205U  - Intel,Intel® Celeron® Processor 4205U,15.0,15.0,False,2,2,False
intel celeron 4305u,Celeron 4305U  - Intel,Intel® Celeron® Processor 4305U,15.0,15.0,False,2,2,False
intel celeron g3900,Celeron G3900  - Intel,Intel® Celeron® Processor G3900,51.0,51.0,False,2,2,False
intel celeron g3900e,Celeron G3900E  - Intel,Intel® Celeron® Processor G3900E,35.0,35.0,False,2,2,False
intel celeron g3900t,Celeron G3900T  - Intel,Intel® Celeron® Processor G3900T,35.0,35.0,False,2,2,False
intel celeron g3900te,Celeron G3900TE  - Intel,Intel® Celeron® Processor G3900TE,35.0,35.0,False,2,2,False
intel celeron g3902e,Celeron G3902E  - Intel,Intel® Celeron® Processor G3902E,25.0,25.0,False,2,2,False
intel celeron g3920,Celeron G3920  - Intel,Intel® Celeron® Processor G3920,51.0,51.0,False,2,2,False
intel celeron g3930,Celeron G3930  - Intel,Intel® Celeron® Processor G3930,51.0,51.0,False,2,2,False
intel celeron g3930e,Celeron G3930E  - Intel,Intel® Celeron® Processor G3930E,54.0,54.0,False,2,2,False
intel celeron g3930t,Celeron G3930T  - Intel,Intel® Celeron® Processor G3930T,35.0,35.0,False,2,2,False
intel celeron g3930te,Celeron G3930TE  - Intel,Intel® Celeron® Processor G3930TE,35.0,35.0,False,2,2,False
intel celeron g3950,Celeron G3950  - Intel,Intel® Celeron® Processor G3950,51.0,51.0,False,2,2,False
intel celeron g4900,Celeron G4900  - Intel,Intel® Celeron® G4900 Processor,54.0,54.0,False,2,2,False
intel celeron g4900t,Celeron G4900T  - Intel,Intel® Celeron® G4900T Processor,35.0,35.0,False,2,2,False
intel celeron g4920,Celeron G4920  - Intel,Intel® Celeron® G4920 Processor,54.0,54.0,False,2,2,False
intel celeron g4930,Celeron G4930  - Intel,Intel® Celeron® Processor G4930,54.0,54.0,False,2,2,False
intel celeron g4930t,Celeron G4930T  - Intel,Intel® Celeron® Processor G4930T,35.0,35.0,False,2,2,False
intel celeron g4950,Celeron G4950  - Intel,Intel® Celeron® Processor G4950,54.0,54.0,False,2,2,False
intel celeron j3060,Celeron J3060  - Intel,Intel® Celeron® Processor J3060,6.0,6.0,False,2,2,False
intel celeron j3160,Celeron J3160  - Intel,Intel® Celeron® Processor J3160,6.0,6.0,False,4,4,False
intel celeron j3355,Celeron J3355  - Intel,Intel® Celeron® Processor J3355,10.0,10.0,False,2,2,False
intel celeron j3455,Celeron J3455  - Intel,Intel® Celeron® Processor J3455,10.0,10.0,False,4,4,False
intel celeron j4005,Celeron J4005  - Intel,Intel® Celeron® J4005 Processor,10.0,10.0,False,2,2,False
intel celeron j4105,Celeron J4105  - Intel,Intel® Celeron® J4105 Processor,10.0,10.0,False,4,4,False
intel celeron n3000,Celeron N3000  - Intel,Intel® Celeron® Processor N3000,4.0,4.0,False,2,2,False
intel celeron n3010,Celeron N3010  - Intel,Intel® Celeron® Processor N3010,4.0,4.0,False,2,2,False
intel celeron n3050,Celeron N3050  - Intel,Intel® Celeron® Processor N3050,6.0,6.0,False,2,2,False
intel celeron n3060,Celeron N3060  - Intel,Intel® Celeron® Processor N3060,6.0,6.0,False,2,2,False
intel celeron n3150,Celeron N3150  - Intel,Intel® Celeron® Processor N3150,6.0,6.0,False,4,4,False
intel celeron n3160,Celeron N3160  - Intel,Intel® Celeron® Processor N3160,4.0,6.0,True,4,4,False
intel celeron n3350,Celeron N3350  - Intel,Intel® Celeron® Processor N3350,6.0,6.0,False,2,2,False
intel celeron n3450,Celeron N3450  - Intel,Intel® Celeron® Processor N3450,6.0,6.0,False,4,4,False
intel celeron n4000,Celeron N4000  - Intel,Intel® Celeron® Processor N4000,6.0,6.0,False,2,2,False
intel celeron n4100,Celeron N4100  - Intel,Intel® Celeron® Processor N4100,6.0,6.0,False,4,4,False
intel core i3-1005g1,Core i3-1005G1  - Intel,Intel® Core™ i3-1005G1 Processor,15.0,15.0,False,2,2,False
intel core i3-6006u,Core i3-6006U  - Intel,Intel® Core™ i3-6006U Processor,15.0,15.0,False,2,2,False
intel core i3-6098p,Core i3-6098P  - Intel,Intel® Core™ i3-6098P Processor,54.0,54.0,False,2,2,False
intel core i3-6100,Core i3-6100  - Intel,Intel® Core™ i3-6100 Processor,51.0,51.0,False,2,2,False
intel core i3-6100e,Core i3-6100E  - Intel,Intel® Core™ i3-6100E Processor,35.0,35.0,False,2,2,False
intel core i3-6100h,Core i3-6100H  - Intel,Intel® Core™ i3-6100H Processor,35.0,35.0,False,2,2,False
intel core i3-6100t,Core i3-6100T  - Intel,Intel® Core™ i3-6100T Processor,35.0,35.0,False,2,2,False
intel core i3-6100te,Core i3-6100TE  - Intel,Intel® Core™ i3-6100TE Processor,35.0,35.0,False,2,2,False
intel core i3-6100u,Core i3-6100U  - Intel,Intel® Core™ i3-6100U Processor,15.0,15.0,False,2,2,False
intel core i3-6102e,Core i3-6102E  - Intel,Intel® Core™ i3-6102E Processor,25.0,25.0,False,2,2,False
intel core i3-6157u,Core i3-6157U  - Intel,Intel® Core™ i3-6157U Processor,28.0,28.0,False,2,2,False
intel core i3-6167u,Core i3-6167U  - Intel,Intel® Core™ i3-6167U Processor,28.0,28.0,False,2,2,False
intel core i3-6300,Core i3-6300  - Intel,Intel® Core™ i3-6300 Processor,51.0,51.0,False,2,2,False
