name,launch date,source,tdp (W),cores,threads
A4-9120C  - AMD,2019-01-06,https://en.wikichip.org/wiki/amd/a4/a4-9120c,6.0,2,2.0
A6-9220C  - AMD,2019-01-06,https://en.wikichip.org/wiki/amd/a6/a6-9220c,6.0,2,2.0
A8 7680  - AMD,2019-01-17,https://en.wikichip.org/wiki/amd/a8/7680,45.0,4,4.0
Alchemy Au1200-333MGC,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-333mgc,1.5,1,
Alchemy Au1200-333MGD,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-333mgd,1.5,1,
Alchemy Au1200-333MGF,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-333mgf,1.5,1,
Alchemy Au1200-333MGI,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-333mgi,1.5,1,
Alchemy Au1200-400MGC,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-400mgc,1.6,1,
Alchemy Au1200-400MGD,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-400mgd,1.6,1,
Alchemy Au1200-500MGC,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-500mgc,1.6,1,
Alchemy Au1200-500MGD,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-500mgd,1.6,1,
Alchemy Au1210-333MGD,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1210-333mgd,0.92,1,
Alchemy Au1210-333MGF,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1210-333mgf,0.92,1,
Alchemy Au1210-400MGD,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1210-400mgd,1.0,1,
Alchemy Au1210-400MGF,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1210-400mgf,1.0,1,
Alchemy Au1250-400MGD,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1250-400mgd,1.2,1,
Alchemy Au1250-400MGF,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1250-400mgf,1.2,1,
Alchemy Au1250-500MGD,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1250-500mgd,1.3,1,
Alchemy Au1250-500MGF,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1250-500mgf,1.4,1,
Alchemy Au1250-600MGD,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1250-600mgd,1.4,1,
Alchemy Au1550-333MBC,2004-05-01,https://en.wikichip.org/wiki/alchemy/au1550-333mbc,1.35,1,
Alchemy Au1550-333MBD,2004-05-01,https://en.wikichip.org/wiki/alchemy/au1550-333mbd,1.35,1,
Alchemy Au1550-333MBF,2004-05-01,https://en.wikichip.org/wiki/alchemy/au1550-333mbf,1.35,1,
Alchemy Au1550-333MBI,2004-05-01,https://en.wikichip.org/wiki/alchemy/au1550-333mbi,1.35,1,
Alchemy Au1550-400MBC,2004-05-01,https://en.wikichip.org/wiki/alchemy/au1550-400mbc,1.46,1,
Alchemy Au1550-400MBD,2004-05-01,https://en.wikichip.org/wiki/alchemy/au1550-400mbd,1.46,1,
Alchemy Au1550-500MBC,2004-05-01,https://en.wikichip.org/wiki/alchemy/au1550-500mbc,1.44,1,
Alchemy Au1550-500MBD,2004-05-01,https://en.wikichip.org/wiki/alchemy/au1550-500mbd,1.44,1,
AMD-K6-IIIE+/400ACR  - AMD,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-400acr,9.5,1,1.0
AMD-K6-IIIE+/400ATZ  - AMD,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-400atz,9.5,1,1.0
AMD-K6-IIIE+/400ICR  - AMD,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-400icr,9.5,1,1.0
AMD-K6-IIIE+/400ITZ  - AMD,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-400itz,9.5,1,1.0
AMD-K6-IIIE+/450ACR  - AMD,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-450acr,12.0,1,1.0
AMD-K6-IIIE+/450APZ  - AMD,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-450apz,12.0,1,1.0
AMD-K6-IIIE+/500ACR  - AMD,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-500acr,14.5,1,1.0
AMD-K6-IIIE+/500ANZ  - AMD,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-500anz,14.5,1,1.0
AMD-K6-IIIE+/550ACR  - AMD,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-550acr,17.0,1,1.0
Athlon 200GE  - AMD,2018-09-06,https://en.wikichip.org/wiki/amd/athlon/200ge,35.0,2,4.0
Athlon 220GE  - AMD,2018-12-21,https://en.wikichip.org/wiki/amd/athlon/220ge,35.0,2,4.0
Athlon 240GE  - AMD,2018-12-21,https://en.wikichip.org/wiki/amd/athlon/240ge,35.0,2,4.0
Athlon 3000G  - AMD,2019-11-20,https://en.wikichip.org/wiki/amd/athlon/3000g,35.0,2,4.0
Athlon 300U  - AMD,2019-01-06,https://en.wikichip.org/wiki/amd/athlon/300u,15.0,2,4.0
Athlon Gold 3150U  - AMD,2020-01-06,https://en.wikichip.org/wiki/amd/athlon_gold/3150u,15.0,2,4.0
Athlon MP 1000  - AMD,2001-06-05,https://en.wikichip.org/wiki/amd/athlon_mp/ahx1000ams3c,46.1,1,1.0
Athlon MP 1200  - AMD,2001-06-05,https://en.wikichip.org/wiki/amd/athlon_mp/ahx1200ams3c,54.7,1,1.0
Athlon MP 1500+  - AMD,2001-10-15,https://en.wikichip.org/wiki/amd/athlon_mp/amp1500dms3c,60.0,1,1.0
Athlon MP 1600+  - AMD,2001-10-15,https://en.wikichip.org/wiki/amd/athlon_mp/amp1600dms3c,62.8,1,1.0
Athlon MP 1800+  - AMD,2001-10-15,https://en.wikichip.org/wiki/amd/athlon_mp/amp1800dms3c,66.0,1,1.0
Athlon MP 1900+  - AMD,2001-12-12,https://en.wikichip.org/wiki/amd/athlon_mp/amp1900dms3c,66.0,1,1.0
Athlon MP 2000+  - AMD,2002-03-13,https://en.wikichip.org/wiki/amd/athlon_mp/amp2000dms3c,66.0,1,1.0
Athlon MP 2000+  - AMD,2002-08-27,https://en.wikichip.org/wiki/amd/athlon_mp/amsn2000dut3c,58.2,1,1.0
Athlon MP 2100+  - AMD,2002-06-19,https://en.wikichip.org/wiki/amd/athlon_mp/amp2100dms3c,66.0,1,1.0
Athlon MP 2200+  - AMD,2002-08-27,https://en.wikichip.org/wiki/amd/athlon_mp/amsn2200dkt3c,60.0,1,1.0
Athlon MP 2400+  - AMD,2002-12-10,https://en.wikichip.org/wiki/amd/athlon_mp/amsn2400dkt3c,60.0,1,1.0
Athlon MP 2600+  - AMD,2003-02-04,https://en.wikichip.org/wiki/amd/athlon_mp/amsn2600dkt3c,60.0,1,1.0
Athlon MP 2600+  - AMD,2003-05-06,https://en.wikichip.org/wiki/amd/athlon_mp/amsn2600dut4c,60.0,1,1.0
Athlon MP 2800+  - AMD,2003-05-06,https://en.wikichip.org/wiki/amd/athlon_mp/amsn2800dut4c,60.0,1,1.0
Athlon PRO 200GE  - AMD,2018-09-06,https://en.wikichip.org/wiki/amd/athlon/pro_200ge,35.0,2,4.0
Athlon PRO 300GE  - AMD,2019-09-30,https://en.wikichip.org/wiki/amd/athlon/pro_300ge,35.0,2,4.0
Athlon PRO 300U  - AMD,2019-04-08,https://en.wikichip.org/wiki/amd/athlon/pro_300u,15.0,2,4.0
Athlon Silver 3050U  - AMD,2020-01-06,https://en.wikichip.org/wiki/amd/athlon_silver/3050u,15.0,2,2.0
Athlon XP-M 1000  - AMD,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axml1000gts3b,16.0,1,1.0
