Processor,Launch Date,Source,TDP (W),Cores,Threads
A4-9120C  - AMD,2019-01-06,https://en.wikichip.org/wiki/amd/a4/a4-9120c,6.0,2,2.0
A6-9220C  - AMD,2019-01-06,https://en.wikichip.org/wiki/amd/a6/a6-9220c,6.0,2,2.0
A8 7680  - AMD,2019-01-17,https://en.wikichip.org/wiki/amd/a8/7680,45.0,4,4.0
Alchemy Au1200-333MGC,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-333mgc,1.5,1,
Alchemy Au1200-333MGD,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-333mgd,1.5,1,
Alchemy Au1200-333MGF,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-333mgf,1.5,1,
Alchemy Au1200-333MGI,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-333mgi,1.5,1,
Alchemy Au1200-400MGC,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-400mgc,1.6,1,
Alchemy Au1200-400MGD,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-400mgd,1.6,1,
Alchemy Au1200-500MGC,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-500mgc,1.6,1,
Alchemy Au1200-500MGD,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-500mgd,1.6,1,
Alchemy Au1210-333MGD,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1210-333mgd,0.92,1,
Alchemy Au1210-333MGF,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1210-333mgf,0.92,1,
